Date,Close,High,Low,Open,Volume,MA20,MA50,MA200,DailyReturn,CumReturn,BB_Upper,BB_Lower,RSI14
2023-02-09,53.757347106933594,54.38851424317334,53.73931336708855,54.235232613866756,12515300,54.5472,56.0669,55.0241,-0.001675,1.190876,55.7125,53.3819,44.91
2023-02-10,53.757347106933594,54.00981602518,53.09011593058794,53.8475158061588,14420700,54.4755,56.0232,55.0059,0.0,1.190876,55.6504,53.3006,43.02
2023-02-13,54.64098358154297,54.78525007090976,53.856534760585056,54.009819840303514,16191800,54.4381,55.969,54.9898,0.016438,1.210452,55.5355,53.3407,50.5
2023-02-14,53.73029327392578,54.91147732822915,53.70324438643873,54.28932539935602,20505700,54.3439,55.8932,54.9664,-0.016667,1.190277,55.3343,53.3535,38.16
2023-02-15,53.73029327392578,54.036859943919886,53.40569286574569,54.00981105643283,13171400,54.334,55.8074,54.95,0.0,1.190277,55.3457,53.3223,38.99
2023-02-16,53.39668273925781,53.937681177391624,53.153232410222344,53.405697889406895,16538300,54.3114,55.7307,54.9371,-0.006209,1.182887,55.3868,53.236,38.64
2023-02-17,54.20817184448242,54.307355678395844,53.54094077201987,53.64913975466014,16814700,54.3132,55.6709,54.9298,0.015197,1.200863,55.3877,53.2387,45.9
2023-02-21,53.919639587402344,54.307356339465144,53.84750807795867,54.09095837155046,14278300,54.2938,55.6034,54.9124,-0.005323,1.194471,55.3827,53.2049,37.29
2023-02-22,54.08194351196289,54.42457766429932,53.874560678586185,53.96472593150339,12409600,54.2681,55.5343,54.8982,0.00301,1.198066,55.3512,53.185,39.02
2023-02-23,54.18113327026367,54.47868138904853,53.928667782860245,54.10899830838596,12222800,54.2303,55.4793,54.8835,0.001834,1.200263,55.2667,53.1939,48.18
2023-02-24,53.955711364746094,54.018827730386555,53.54996084306889,53.8114448947702,9736200,54.1865,55.4049,54.8682,-0.004161,1.195269,55.1895,53.1835,50.1
2023-02-27,53.937679290771484,54.37047871405701,53.86554777334926,54.262279718131644,8849800,54.1563,55.3297,54.8554,-0.000334,1.19487,55.1506,53.162,46.27
2023-02-28,53.65816116333008,53.82947996537941,53.32454558817808,53.82947996537941,16082200,54.1054,55.2489,54.84,-0.005182,1.188678,55.0918,53.119,44.29
2023-03-01,53.07208251953125,53.36061547967106,52.63026448955105,53.31553284957125,13275800,53.9945,55.1722,54.8207,-0.010922,1.175695,54.9167,53.0723,41.73
2023-03-02,53.84751892089844,53.9016167039786,53.01798403796404,53.054051519740405,11758300,53.9219,55.1176,54.7999,0.014611,1.192873,54.6107,53.2331,50.84
2023-03-03,53.59504318237305,53.811444605967466,53.3876603478697,53.69422702487116,13101800,53.884,55.0563,54.7769,-0.004689,1.18728,54.5562,53.2118,48.56
2023-03-06,54.42457962036133,54.4426133595097,53.39668056599246,53.43274460470516,16282700,53.9079,55.0125,54.7588,0.015478,1.205657,54.6221,53.1937,48.06
2023-03-07,54.10899353027344,54.61392790007619,53.874561804041015,54.54179638415237,13961200,53.9007,54.9441,54.7593,-0.005799,1.198665,54.6031,53.1983,53.8
2023-03-08,54.136051177978516,54.39753525801271,53.856533357295305,54.136051177978516,10851600,53.8994,54.8846,54.7652,0.0005,1.199264,54.5997,53.1991,54.05
2023-03-09,53.61307144165039,54.586872588925694,53.45077125043784,54.586872588925694,13900900,53.8876,54.806,54.7642,-0.00966,1.187679,54.5993,53.1759,52.08
2023-03-10,53.38766098022461,54.22621091726135,53.189296732462786,53.829478982153724,13745800,53.8692,54.7158,54.7538,-0.004204,1.182686,54.6136,53.1248,41.1
2023-03-13,53.92866134643555,54.884425400154136,53.42372699230867,53.45979446894285,21956000,53.8777,54.648,54.741,0.010133,1.194671,54.6207,53.1347,50.09
2023-03-14,54.127037048339844,54.514753905283605,53.51390357408387,54.099988154929456,19496900,53.852,54.5773,54.7289,0.003678,1.199065,54.5151,53.1889,50.46
2023-03-15,54.48769760131836,54.53278023073245,53.41471588709272,53.58603125469993,21089900,53.8899,54.52,54.7176,0.006663,1.207054,54.6079,53.1719,52.97
2023-03-16,54.78752517700195,54.82386930957718,54.24237705224263,54.596723679932914,15658300,53.9428,54.4805,54.7062,0.005503,1.213696,54.7602,53.1254,57.95
2023-03-17,54.53312301635742,54.83295344428014,54.18786068986914,54.796612777781824,27351200,53.9996,54.4365,54.6992,-0.004643,1.208061,54.8151,53.1841,55.44
2023-03-20,55.06010437011719,55.06010437011719,54.48769982557097,54.66032927243875,12904100,54.0422,54.4161,54.6962,0.009664,1.219736,54.983,53.1014,62.26
2023-03-21,54.80569076538086,55.19638147946761,54.405915752207676,55.03283636817702,13716500,54.0865,54.3689,54.6891,-0.004621,1.214099,55.0847,53.0883,66.1
2023-03-22,54.56037902832031,55.3054164091885,54.542206962205576,54.878384986377405,10494200,54.1104,54.331,54.684,-0.004476,1.208665,55.1308,53.09,57.34
2023-03-23,54.442264556884766,54.869299463118125,54.26055082024427,54.59672539219002,15479000,54.1235,54.2994,54.6788,-0.002165,1.206048,55.1543,53.0927,58.98
2023-03-24,55.332672119140625,55.44170104173934,54.433173976292075,54.74209214529424,12975600,54.1923,54.2878,54.6764,0.016355,1.225773,55.3519,53.0327,59.5
2023-03-27,55.74153137207031,55.85964805987764,55.37810047523023,55.55072989128174,12777400,54.2825,54.2989,54.6776,0.007389,1.234831,55.6249,52.9401,66.75
2023-03-28,55.80514144897461,56.09589106873028,55.66885613899318,55.777885080171835,10925700,54.3898,54.3072,54.684,0.001141,1.23624,55.8593,52.9203,67.0
2023-03-29,56.20492172241211,56.28669429727951,55.9596039978099,56.07772070950007,9441000,54.5465,54.319,54.694,0.007164,1.245096,56.0906,53.0024,77.07
2023-03-30,56.195823669433594,56.41388498448975,56.023194250074106,56.223083500045,9870700,54.6639,54.3643,54.7044,-0.000162,1.244894,56.336,52.9918,80.72
2023-03-31,56.359375,56.55926427199856,56.21400192926488,56.38663483361542,14440900,54.8021,54.4146,54.7229,0.00291,1.248517,56.5572,53.047,78.98
2023-04-03,56.6955451965332,56.80457411800506,56.20490985095949,56.60468487366756,12300700,54.9157,54.465,54.7412,0.005965,1.255964,56.8524,52.979,79.65
2023-04-04,56.52291488647461,57.00446595464395,56.40480166032841,56.68646000910313,11433400,55.0364,54.5093,54.7613,-0.003045,1.25214,57.0603,53.0125,74.56
2023-04-05,57.058982849121094,57.25887211713684,56.786408780169744,56.813665147274676,12789600,55.1825,54.5586,54.7825,0.009484,1.264015,57.3497,53.0153,75.93
2023-04-06,57.095333099365234,57.27705032012315,56.67738591779942,57.1135051680378,9644200,55.3566,54.6017,54.7982,0.000637,1.26482,57.5523,53.1609,80.79
2023-04-10,56.95903015136719,56.95903015136719,56.350281599089215,56.7773164417699,7952600,55.5352,54.6443,54.8112,-0.002387,1.261801,57.6355,53.4349,75.18
2023-04-11,56.859100341796875,56.97721358340726,56.69555519775591,56.92270084603863,9913000,55.6817,54.6907,54.8205,-0.001754,1.259588,57.718,53.6454,78.39
